"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"1",6,4,0,5,0,5,1533,1668,1208,3371,978,2036,0,0,0,0,0,0,0,0,0,122,145,87,98,83,110,173,311,62,298,171,340
"2",0,0,0,0,0,0,578,408,638,432,1309,570,52,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",391,364,237,337,275,445,25340,29177,14843,29979,18413,20047,32,26,32,4,0,0,0,0,0,1582,2276,1963,1691,1683,2217,1103,1509,328,1249,1051,1255
"4",10549,8499,5740,8411,6130,9332,2328,2573,1578,2713,1861,1649,14,3,6,22,17,13,9,5,7,14598,19298,17085,14112,15212,19287,16973,21482,4738,18149,15628,17086
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,6,20,9,0,0,0,0,0,0,4,0,3,0,6,0
"6",5158,7553,3857,5460,3247,7668,2201,3057,1521,4956,1321,3023,4,3,0,0,0,3,0,0,0,1766,2086,1097,1316,1098,1474,2784,5691,833,4797,3466,5080
"7",0,837,0,0,48,4262,0,0,0,0,0,0,0,0,0,0,0,0,38,65,5,0,0,0,0,0,0,0,1464,2395,59459,10246,11867
"8",154,44,73,60,81,84,57,26,83,32,71,37,0,0,0,0,7,3,0,0,0,8374,6539,13453,7817,18009,10306,582,566,208,513,585,664
"9",0,0,0,0,0,0,775,521,505,443,970,993,9,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",176,196,116,149,129,240,95,84,71,163,56,93,0,0,0,0,0,0,0,0,0,65,54,41,48,41,64,91,178,24,139,100,170
"12",103,84,68,78,77,128,10662,7741,11808,12206,10082,8748,5,5,17,0,0,0,0,0,0,5,3,0,0,0,5,3,12,4,17,15,18
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,4,186,474,190,176,264,1066,6,0,0,0,0,0,0,0,4,0,0,0,0
"15",6,4,3,5,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,4,3529,4650,4147,3502,3461,4424,5560,7389,1766,6424,5451,6184
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686,3692,1100,0,0,0,5364,8753,45007,11059,21383,7293,0,0,0,0,0,0
"17",7,4,0,0,5,9,40,26,18,43,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,155,34,175,155,179
"19",64,31,26,25,12,34,5902,10375,2763,9203,4540,7657,0,0,0,6,0,0,0,0,0,3940,5260,4704,3993,3788,5440,504,711,149,602,432,593
"20",125,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"21",63,51,33,32,28,41,12,13,10,10,15,14,0,0,0,3,7,4,0,3,0,6489,8414,7417,6463,6482,8878,489,609,140,527,473,485
"23",2287,3898,20568,7703,5197,3873,0,0,0,0,0,0,0,0,0,11,7,0,89,234,128,0,0,413,0,0,0,55,582,147,469,523,387
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,3406,556,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,6894,9216,7489,6586,6236,8511,83,139,31,119,107,109
"26",0,0,0,0,0,0,0,0,0,0,0,0,66,2177,0,491,6307,786,927,23923,5378,0,0,0,0,0,0,0,0,0,0,0,0
"27",3317,2839,1725,2538,2060,2991,374,266,122,229,158,188,0,0,0,0,0,0,0,5,4,852,1066,941,771,807,1134,5075,5648,1415,4873,4688,4219
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,51,10,1739,143,914,0,0,0,10442,17782,5821,0,0,0
"29",16,0,12,10,8,17,0,0,0,0,0,0,201,5,0,1270,297,172,16,41,25,6880,3519,4204,3640,6427,2887,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,7,360,5,19,131,41,833,16467,13244,7129,2868,1836,2692,7552,0,29,0,0,0,0
"31",3,0,0,0,0,0,31386,54,88,30,15,36,0,3,0,8,10,0,0,9,4,7,4,14,35,0,5,57,45,33,185,37,158
"32",3604,2915,2007,2985,2156,3351,1233,1253,912,1405,752,895,0,0,3,9,5,4,0,3,4,7618,9999,9135,7458,7552,9967,8159,10846,2575,8850,7521,8583
"33",347,268,416,0,189,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0
"34",24,15,7,15,15,18,8,21,36,0,8,7,6385,2590,2673,3973,3251,1899,1288,2175,1308,266,28,103,40,103,46,271,131,48,103,95,56
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9172,8536,11423,174,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,11745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,74,0,0,0,0,0,0,0,0,0,0,0,0
"37",4,15,9,21,18,36,66,30,5,8,74,37,0,0,0,0,0,0,0,0,0,2631,2445,2293,3010,2474,2802,1518,2345,335,1397,1439,2002
"38",6009,3326,4192,4195,4467,6681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,651,504,2338,587,3560,3446,21133,7354,9507,1785,4687,9907,0,3058,0,0,0,0
"40",16,25,8,22,25,15,5,12,8,5,0,6,0,0,0,0,0,0,0,0,0,30,32,32,21,37,46,44,34,11,36,34,42
