"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"1",55,102,52,72,43,114,31064,34800,23849,71273,20141,41920,5,0,6,0,3,0,0,0,3,2721,3251,1928,2231,2021,2336,3605,7171,1176,6021,4273,6705
"2",26,0,4,5,8,12,37575,24280,35430,28705,72580,36672,3047,339,760,14,5,6,0,0,0,5,7,0,20,0,3,0,0,0,0,0,0
"3",441,390,271,373,305,493,26938,31016,15801,31700,19677,21294,37,27,35,5,0,0,0,0,0,1673,2443,2084,1802,1790,2364,1183,1625,343,1321,1116,1351
"4",11459,9227,6228,9094,6635,10061,2530,2773,1718,2930,2023,1786,14,4,6,23,19,14,9,5,7,15976,21115,18657,15426,16611,21108,18786,23770,5288,20158,17353,18932
"5",293,108,148,110,103,106,77,44,45,26,84,39,724,345,288,6002,4125,1946,8051,22744,7875,686,335,467,310,460,495,3404,4191,1356,4091,5437,3857
"6",5790,8409,4307,6136,3582,8554,2410,3359,1663,5395,1466,3304,4,3,0,0,0,3,0,0,0,1918,2293,1172,1410,1179,1572,3085,6329,905,5301,3868,5644
"7",0,868,0,0,872,4407,0,0,0,0,0,0,0,0,0,0,0,0,39,68,6,0,0,0,0,0,0,0,1503,2477,61376,10609,12675
"8",161,45,74,61,84,86,58,26,87,33,74,40,0,0,0,0,8,3,0,0,0,8660,6750,13875,8053,18556,10617,598,585,214,529,606,683
"9",0,0,0,0,0,0,12632,8839,8273,6934,14816,16600,101,46,98,0,0,3,3,14,0,20,25,9,7,13,10,8,4,0,9,12,0
"11",3506,4894,2697,3702,2682,6189,1969,1950,1380,3730,1093,1986,0,0,0,0,0,0,0,0,0,1424,1705,1005,1206,1124,1361,1890,3819,639,3012,2124,3561
"12",105,88,68,79,78,129,10843,7896,12069,12441,10295,8925,5,5,17,0,0,0,0,0,0,5,3,0,0,0,5,3,13,4,18,15,18
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",7,13,13,5,0,0,0,0,0,11,6,0,4,127,5847,17118,6784,6868,9463,38394,257,9,6,6,6,6,9,81,157,5,64,34,34
"15",6,4,3,5,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,4,3725,4896,4367,3677,3645,4653,5899,7853,1863,6895,5755,6599
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4910,3845,1156,0,0,0,5578,9124,47055,11902,22396,7578,0,0,0,0,0,0
"17",259,198,127,84,245,314,1577,1230,1802,2231,1164,1257,0,4,0,0,0,0,0,0,0,32,46,30,42,38,50,4168,6460,1526,7176,5206,6177
