"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"OTU_1",51612,17423,195177,115243,180174,48238,0,0,21,0,0,0,0,0,0,223,289,191,9046,4539,10049,0,0,40082,284,0,0,4136,39804,27000,35370,16145,11276
"OTU_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,127,14,60332,4386,17586,3062,7765,537,29405,2987,0,74,15247,9
"OTU_100",2951,434,404,669,935,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,8,100,11,46
"OTU_1002",0,7,0,0,0,0,0,0,0,0,0,0,8,6,15,4,32,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1005",0,0,0,0,0,0,4,0,3,3,3,0,187,44,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,118,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_1008",0,0,0,0,0,0,0,68,0,31,0,0,230,3,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0
"OTU_1009",0,0,0,0,0,0,0,0,4,4,0,0,34,24,45,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101",0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,18,3,0,0,0,1153,1452,551,1653,906,900,0,13,0,3,0,0
"OTU_1011",0,0,0,0,0,0,0,0,0,3,0,0,13,7,7,25,8,0,15,11,5,0,0,0,3,0,0,0,0,0,0,0,0
"OTU_1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,7,11,7,7,5,0,0,0,0,0,0,0,0,0,0,0
