"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1",51402,17374,194877,115061,179628,48241,0,0,21,0,0,0,0,0,0,222,287,193,9032,4528,10035,0,0,40023,284,0,0,4129,39744,26969,35504,16131,11285
"Zotu1000",0,0,0,0,0,0,0,0,0,0,0,0,106,36,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,132,29,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,85,95,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1004",0,0,0,0,0,0,0,30,13,24,54,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Zotu1006",0,0,0,0,0,0,0,0,0,0,0,0,29,157,196,77,166,39,7,17,3,0,0,0,0,0,5,0,0,0,0,0,0
"Zotu1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167,31,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0
"Zotu1008",0,0,0,0,0,0,0,0,0,0,0,0,61,3,30,0,0,137,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu101",0,0,0,0,0,0,0,0,0,0,0,0,21,9,20,2613,2797,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,136,0,240,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1012",0,0,0,0,0,0,0,0,0,0,0,0,251,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1015",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,45,9,25,26,43,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1016",0,0,0,0,0,0,0,0,0,0,0,0,29,34,115,0,0,0,3,0,89,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1017",0,0,0,0,0,0,0,0,0,0,0,0,136,19,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1018",0,0,0,0,0,0,0,0,0,0,0,0,78,39,139,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
