"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"1",51609,17423,195162,115243,179935,48061,0,0,21,0,0,0,0,0,0,223,289,191,9043,4538,10043,0,0,40082,284,0,0,4136,39790,26913,35130,16133,11252
"2",0,0,0,0,0,0,37620,102988,26542,121724,26051,120310,157,66,44,0,3,0,0,0,0,283,319,127,687,59,114,51,213,62,135,67,217
"3",43899,7488,8648,10791,12422,21605,924,542,841,517,1348,2279,3322,670,986,9,28,5,5,7,13,60010,109782,32765,66587,30955,28357,280,1488,108,362,202,766
"4",0,317,0,0,5336,30881,0,0,63,0,0,0,0,0,0,0,0,0,320,139,0,0,0,0,0,0,0,0,2174,45841,63321,40879,24406
"5",0,201557,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4259,0,7397,157,3475,6,0,0,8,0,0,0,0,0,0,1685,596,94,3203,4773,6204,0,3,0,0,0,5,37015,63788,11,32417,33364,6320
"7",745,2393,248,818,939,2155,0,0,22,0,0,0,0,0,0,501,1043,198,63,170,46,16685,21235,8199,13440,11970,19258,6307,36156,13827,33642,2675,4875
"8",3525,0,0,0,0,3060,42408,84,3862,169,8225,178,2510,9677,5055,780,2443,615,0,0,0,5178,11704,28978,9883,13097,4807,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,127,14,60318,4385,17586,3062,7763,537,29405,2987,0,74,15247,9
"11",0,0,0,0,0,0,0,0,0,0,0,0,958,52684,42658,0,153,0,3,136,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,254,0,15635,7457,22097,0,0,0,0,0,0,463,14699,2293,3884,19397,4520
"13",29,23,6,21,38,60,81337,397,470,522,288,353,3,61,234,53,44,17,173,9,17,28,39,16,60,10,18,32,115,40,90,50,168
"14",315,80,115,213,224,536,900,1033,505,787,610,1333,0,0,4,0,0,0,0,0,0,9792,13244,5869,20932,7787,9759,2628,9548,2343,5084,4570,9642
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,3663,37079,1657,2835,738,7106,4907,23830,0,0,121,119,722,53,0,0,0,0,0,0
"16",0,0,0,0,0,0,7884,9200,7878,12558,13079,18198,79,30,108,0,0,0,0,0,0,0,0,0,3,0,0,12,28,17,34,18,70
"18",33,9,13,24,27,42,0,20,13,51,107,0,0,0,0,0,0,0,0,0,0,59,117,107,69,71,43,4777,19739,6920,21336,7145,15258
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,630,759,42,127,139,323,67,2077,22702,16948,4583,1791,1833,10591,0,153,0,0,0,0
"20",752,191,277,516,455,1180,10612,9931,10272,10617,13960,14728,3999,1883,2243,113,83,19,107,89,71,670,734,271,774,513,726,6,3,6,9,14,16
"21",0,0,0,0,0,0,0,0,0,0,0,0,5449,57747,2122,2946,2449,612,3171,5699,18214,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,5315,58269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",44,21,76,113,291,337,0,0,0,0,0,0,0,0,0,18,12,6,139,22,28,309,173,1363,48373,47,41,386,1011,224,443,314,498
"24",14956,458,2413,0,7553,26314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",548,154,197,221,10250,33363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,39167,895,0,15,5,37,0,0,0,0,46,29,67,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,5920,5950,5316,11158,5465,8996,16,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,24,3,15,13,19
"29",621,281,38,434,364,182,5836,10251,11434,11187,3270,9824,278,81,164,0,0,0,9,0,34,0,0,0,0,0,0,54,244,71,254,269,279
