"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"1",543,165,2051,1210,2116,557,0,0,0,0,0,0,0,0,0,3,4,4,81,48,100,0,0,1057,5,0,0,86,557,340,296,196,95
"2",0,0,0,0,0,0,6,28,9,36,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",37673,6385,7281,9297,10488,18840,818,481,753,469,1191,2045,2962,588,889,9,26,5,5,4,13,53001,97229,28462,56484,26386,24267,249,1268,92,304,178,669
"4",0,9,0,0,206,658,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,61,981,1322,795,478
"6",3718,0,6435,142,3071,6,0,0,7,0,0,0,0,0,0,1513,523,83,2857,4261,5562,0,3,0,0,0,5,32964,56990,10,28683,29701,5605
"7",572,1848,178,646,710,1696,0,0,20,0,0,0,0,0,0,406,795,137,47,135,36,13937,18022,6733,9823,10080,16482,5294,30600,11855,28424,2340,4123
"8",824,112,118,86,778,25,0,0,0,0,0,0,0,4,0,9,6,0,98,47,57,0,0,0,0,0,0,0,0,35,6,0,0
"9",207,0,0,0,0,131,57,0,4,0,15,0,0,18,13,3,3,0,0,0,0,8,15,383,17,73,20,0,0,0,0,0,0
"10",10,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,24,139,25,71,0,204,18,0,0,102,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,35,1716,1468,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,226,0,14271,6806,20114,0,0,0,0,0,0,428,13365,2102,3493,17767,4115
"15",0,0,0,3,0,3,3494,14,20,19,12,15,0,0,15,31,11,0,31,5,16,0,0,0,0,0,0,0,5,0,7,0,6
"16",277,69,104,191,183,472,801,921,454,704,527,1169,0,0,4,0,0,0,0,0,0,8500,11606,5076,18198,6777,8546,2329,8372,2082,4480,4100,8540
