"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"1",50827,17351,194103,114870,178268,47882,0,0,21,0,0,0,0,0,0,222,287,191,9016,4517,10005,0,0,39987,284,0,0,4125,39681,26823,34972,16076,11222
"2",0,0,0,0,0,0,33768,91212,23692,107837,23181,106738,151,62,39,0,3,0,0,0,0,97,119,37,220,19,31,51,202,56,125,58,204
"3",42935,7401,8540,10682,12202,21193,923,542,840,515,1344,2277,3297,669,982,9,28,5,5,7,13,59086,107972,32022,63388,29555,27005,280,1453,108,351,201,755
"4",0,317,0,0,5336,30881,0,0,63,0,0,0,0,0,0,0,0,0,320,139,0,0,0,0,0,0,0,0,2174,45841,63320,40879,24406
"5",0,201556,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4259,0,7397,157,3475,6,0,0,8,0,0,0,0,0,0,1685,596,94,3203,4773,6204,0,3,0,0,0,5,37015,63788,11,32417,33364,6320
"7",740,2386,248,817,933,2106,0,0,22,0,0,0,0,0,0,493,1014,188,61,164,45,16540,21059,8169,13418,11923,19121,6291,35992,13806,33573,2673,4854
"8",84219,4622,16539,10686,72104,2745,0,0,3,0,14,0,0,233,156,667,399,9,8909,4547,7860,0,0,4,0,9,0,0,6,3719,965,0,362
"9",3509,0,0,0,0,3049,42374,84,3856,169,8214,178,2510,9671,5053,780,2443,615,0,0,0,5173,11692,28955,9871,13073,4801,0,0,0,0,0,0
"10",60,10,5,10,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,6,7,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,127,14,60317,4385,17586,3061,7763,537,29405,2987,0,74,15247,9
"13",0,0,0,0,0,0,0,0,0,0,0,0,958,52682,42658,0,153,0,3,136,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,254,0,15635,7457,22097,0,0,0,0,0,0,463,14699,2293,3884,19397,4520
