"","ID","Status","PQ","TQ","TB","HH","marker","medium"
"1","Abra alba","IDonly",1,1,1,1,"Both","Both"
"2","Acanthochitona crinita","IDonly",0,1,0,0,"COI","Water"
"3","Acartia bifilosa","IDonly",1,1,1,0,"Both","Both"
"4","Acartia clausii","IDonly",0,1,1,1,"Both","Both"
"5","Acartia margalefi","IDonly",0,1,1,0,"COI","Both"
"6","Acartia tonsa","UK",1,1,1,0,"Both","Both"
"7","Acrocnida brachiata","IDonly",0,0,0,1,"COI","Water"
"8","Aiptasiogeton hyalinus","IDonly",1,1,1,1,"18S","Both"
"9","Akera bullata","IDonly",0,0,1,1,"COI","Both"
"10","Alaskagorgia aleutiana","IDonly",0,0,0,1,"18S","Water"
"11","Alcyonium siderium","IDonly",0,0,0,1,"COI","Water"
"12","Alitta virens","IDonly",1,0,1,1,"COI","Water"
"13","Ammothea hilgendorfi","UK",0,1,1,0,"COI","Both"
"14","Amphichaeta sannio","IDonly",1,0,1,0,"18S","Sediment"
"15","Amphitrite figulus","IDonly",0,1,1,0,"COI","Both"
"16","Antedon bifida","IDonly",0,0,0,1,"COI","Water"
"17","Antedon petasus","IDonly",0,0,0,1,"18S","Water"
"18","Anteholosticha pulchra","IDonly",1,0,1,0,"18S","Sediment"
"19","Archaphanostoma macrospiriferum","IDonly",0,0,1,0,"COI","Sediment"
"20","Ascidiella aspersa","Global",0,1,1,1,"Both","Both"
"21","Asterias rubens","Global",0,1,0,1,"COI","Both"
"22","Atherina boyeri","Global",1,0,0,0,"COI","Water"
"23","Atherina presbyter","IDonly",0,1,1,0,"COI","Water"
"24","Atrochromadora microlaima","IDonly",1,1,1,0,"18S","Both"
"25","Aurelia aurita","IDonly",1,1,1,1,"COI","Both"
"26","Barentsia benedeni","Global",1,0,0,0,"18S","Both"
"27","Barentsia discreta","IDonly",1,1,0,0,"18S","Both"
"28","Bicosta minor","IDonly",0,1,0,1,"18S","Water"
"29","Boonea seminuda","IDonly",0,1,0,0,"18S","Sediment"
"30","Botrylloides violaceus","UK",0,1,1,0,"COI","Both"
"31","Botryllus schlosseri","Global",1,1,1,1,"Both","Both"
"32","Bowerbankia gracilis","Global",0,1,1,0,"COI","Both"
"33","Bowerbankia imbricata","IDonly",0,1,0,1,"COI","Water"
"34","Bryopsis plumosa","IDonly",1,1,1,0,"18S","Both"
"35","Buccinum undatum","IDonly",0,1,0,0,"COI","Sediment"
"36","Bugula fulva","Global",0,0,0,1,"COI","Water"
"37","Bugula neritina","UK",0,1,1,0,"COI","Both"
"38","Bugula plumosa","IDonly",0,1,0,0,"COI","Both"
"39","Caberea boryi","IDonly",0,0,1,0,"18S","Sediment"
"40","Calanus helgolandicus","IDonly",0,0,0,1,"COI","Water"
"41","Calappa gallus","IDonly",0,1,0,1,"18S","Both"
"42","Canuella perplexa","IDonly",1,0,1,1,"18S","Both"
"43","Carcinus maenas","Global",1,1,1,1,"COI","Both"
"44","Cardiostomatella vermiformis","IDonly",1,0,1,0,"18S","Sediment"
"45","Celleporella hyalina","IDonly",0,0,0,1,"COI","Water"
"46","Centropages hamatus","IDonly",0,1,1,1,"Both","Both"
"47","Cephalodella forficula","IDonly",1,1,1,1,"18S","Both"
"48","Cephalothrix rufifrons","IDonly",0,1,0,1,"18S","Both"
"49","Cephalothrix simula","UK",0,1,0,0,"COI","Sediment"
"50","Ceramium diaphanum","IDonly",1,0,0,1,"18S","Both"
"51","Cerastoderma edule","IDonly",1,1,0,1,"Both","Both"
"52","Cerastoderma glaucum","IDonly",1,0,0,0,"COI","Both"
"53","Chaetogaster diastrophus","IDonly",0,1,0,0,"COI","Water"
"54","Chamaesipho columna","IDonly",0,1,1,1,"COI","Both"
"55","Chelon labrosus","Global",1,1,1,0,"COI","Both"
"56","Chironomus salinarius","IDonly",1,0,1,0,"COI","Both"
"57","Chromadorina germanica","IDonly",1,1,1,0,"18S","Sediment"
"58","Chromadorita leuckarti","IDonly",1,1,1,0,"18S","Sediment"
"59","Chromadorita tentabundum","IDonly",1,0,1,0,"18S","Sediment"
"60","Ciona intestinalis","Global",0,1,1,1,"Both","Both"
"61","Cirriformia tentaculata","IDonly",0,1,1,1,"COI","Both"
"62","Cladophora gracilis","IDonly",1,1,1,0,"18S","Both"
"63","Clytia hemisphaerica","IDonly",0,1,0,1,"COI","Both"
"64","Clytia languida","IDonly",0,1,0,1,"COI","Both"
"65","Clytia paulensis","IDonly",0,1,0,0,"COI","Both"
"66","Corbula gibba","Global",0,1,0,0,"COI","Both"
"67","Corymorpha bigelowi","Global",0,1,1,0,"COI","Sediment"
"68","Crepidula fornicata","UK",0,1,1,0,"COI","Both"
"69","Ctenodrilus serratus","IDonly",0,1,1,0,"COI","Both"
"70","Cygnus olor","IDonly",0,1,0,0,"COI","Water"
"71","Daptonema oxycerca","IDonly",1,1,1,0,"18S","Sediment"
"72","Daptonema setosum","IDonly",1,1,1,0,"18S","Sediment"
"73","Dendrodoa grossularia","IDonly",1,1,0,0,"18S","Both"
"74","Dicentrarchus labrax","Global",1,1,1,0,"COI","Both"
"75","Doto coronata","IDonly",0,0,0,1,"COI","Water"
"76","Echiniscus testudo","IDonly",0,1,0,0,"COI","Both"
"77","Electra pilosa","IDonly",0,1,0,1,"COI","Water"
"78","Ercolania felina","IDonly",0,0,1,0,"18S","Both"
"79","Erinaceusyllis bidentata","IDonly",0,1,1,1,"18S","Both"
"80","Eteone longa","IDonly",1,1,1,1,"18S","Both"
"81","Eumida sanguinea","IDonly",0,0,1,0,"COI","Sediment"
"82","Eurytemora affinis","IDonly",1,1,1,1,"Both","Both"
"83","Euterpina acutifrons","Global",0,1,1,0,"COI","Both"
"84","Gephyrocapsa oceanica","IDonly",0,1,0,1,"18S","Water"
"85","Gibbula cineraria","Global",0,1,0,0,"COI","Sediment"
"86","Gibbula umbilicalis","IDonly",0,0,0,1,"COI","Water"
"87","Gobiusculus flavescens","IDonly",0,0,0,1,"COI","Water"
"88","Gonothyraea loveni","IDonly",1,1,1,1,"18S","Both"
"89","Halichondria bowerbanki","Global",0,1,1,0,"18S","Water"
"90","Halichondria panicea","IDonly",1,1,1,1,"COI","Both"
"91","Haliclona oculata","IDonly",0,1,0,0,"COI","Both"
"92","Haliclona xena","IDonly",1,1,1,0,"COI","Both"
"93","Halocladius variabilis","IDonly",1,1,0,0,"COI","Both"
"94","Hediste diversicolor","IDonly",1,1,1,0,"COI","Both"
"95","Heterolepidoderma loricatum","IDonly",1,1,1,0,"18S","Sediment"
"96","Hydra oligactis","IDonly",0,1,0,0,"COI","Water"
"97","Hydroides ezoensis","UK",0,1,0,0,"COI","Water"
"98","Hymeniacidon perlevis","IDonly",1,1,1,0,"COI","Both"
"99","Isias clavipes","IDonly",0,1,0,0,"COI","Water"
"100","Itunella muelleri","IDonly",0,1,0,0,"18S","Sediment"
"101","Laomedea flexuosa","IDonly",0,1,1,1,"COI","Both"
"102","Larus heuglini","IDonly",1,1,0,0,"COI","Water"
"103","Lepidochitona cinerea","IDonly",1,1,1,1,"Both","Both"
"104","Lepidonotus squamatus","IDonly",1,0,1,0,"COI","Both"
"105","Leptocythere lacertosa","IDonly",1,1,1,0,"18S","Sediment"
"106","Leptosiphonia schousboei","IDonly",0,1,0,1,"18S","Both"
"107","Leuckartiara octona","IDonly",0,1,1,0,"COI","Sediment"
"108","Limapontia depressa","IDonly",0,0,1,0,"COI","Both"
"109","Liocarcinus depurator","IDonly",0,0,0,1,"Both","Water"
"110","Littorina littorea","Global",0,1,1,0,"COI","Sediment"
"111","Loxocorniculum mutsuense","IDonly",0,1,1,0,"18S","Sediment"
"112","Macoma balthica","IDonly",1,0,1,1,"COI","Both"
"114","Melinna albicincta","IDonly",0,1,0,0,"18S","Both"
"115","Membranipora membranacea","Global",0,0,0,1,"COI","Water"
"116","Mesopodopsis slabberi","IDonly",1,0,0,0,"COI","Sediment"
"117","Miamiensis avidus","IDonly",1,0,0,0,"18S","Water"
"118","Microstomum papillosum","IDonly",1,1,1,0,"18S","Both"
"119","Molgula manhattensis","UK",1,0,0,0,"18S","Both"
"120","Molgula provisionalis","IDonly",1,1,1,1,"18S","Both"
"121","Monocorophium acherusicum","Global",1,0,0,0,"COI","Water"
"122","Monocorophium insidiosum","Global",1,1,1,0,"COI","Both"
"123","Musculista senhousia","UK",0,1,0,0,"COI","Sediment"
"124","Mya truncata","IDonly",1,1,0,0,"18S","Water"
"125","Myrianida prolifera","IDonly",0,0,1,0,"COI","Water"
"126","Mytilicola intestinalis","UK",0,1,0,0,"COI","Sediment"
