"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"1","OTU_1",0,0,0,0,0,0,0,2273,0,0,0,0,55,102,52,72,43,114,0,0,31064,34800,23849,71273,20141,41920,5,1,6,1,3,0,2,1,3,0,2721,3251,1928,2231,2021,2336,3605,7171,1176,6021,4273,6705
"2","OTU_2",0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,5,8,12,0,0,37575,24280,35430,28705,72580,36672,3047,339,760,14,5,6,1,0,0,0,5,7,1,20,0,3,0,0,0,0,0,0
"3","OTU_3",0,0,0,5,0,0,0,3713,0,0,0,0,4848,4015,2728,4007,2916,4432,0,0,27579,31580,16169,32368,20063,21695,40,27,36,14,4,7,3,1,7,0,4651,6256,5694,4568,4687,6367,4230,5697,1313,4824,4263,4642
"4","OTU_4",0,0,3,63,0,0,0,22328,0,0,0,0,16911,13471,9150,13268,9570,14863,0,0,3504,3791,2391,3984,2663,2461,16,6,8,31,24,19,9,7,11,0,22134,29521,25963,21636,23153,29801,26445,33485,7439,28487,25149,26751
"5","OTU_5",0,0,0,0,0,0,0,2057,0,0,0,0,293,108,148,110,103,106,0,0,77,44,45,26,84,39,724,345,288,6002,4125,1946,8051,22744,7875,0,686,335,467,310,460,495,3404,4191,1356,4091,5437,3857
"6","OTU_6",0,0,18,62,0,0,0,17297,0,0,0,0,5790,8409,4307,6136,3582,8554,0,0,2410,3359,1663,5395,1466,3304,4,3,2,0,1,3,0,0,0,0,1918,2293,1172,1410,1179,1572,3085,6329,905,5301,3868,5644
"7","OTU_7",0,0,0,0,0,0,0,0,0,0,0,0,2,868,2,2,872,4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,68,6,0,0,0,0,2,0,0,0,1503,2477,61376,10609,12675
"8","OTU_8",0,0,0,0,0,0,0,311,0,0,0,0,1242,396,617,430,572,623,0,0,995,531,930,601,893,452,12,0,1,2,8,3,3,10,0,0,8670,6754,13894,8056,18579,10628,1005,983,324,894,1050,1112
"9","OTU_9",0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,16292,11484,10853,9211,19489,22079,118,50,107,0,2,3,3,14,2,0,20,25,9,7,13,10,8,4,2,9,12,1
"10","OTU_10",0,0,11749,54414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","OTU_11",0,0,22,60,0,0,0,6918,0,0,0,0,3506,4894,2697,3702,2682,6189,0,0,1969,1950,1380,3730,1093,1986,0,1,1,0,2,1,0,0,1,0,1424,1705,1005,1206,1124,1361,1890,3819,639,3012,2124,3561
"12","OTU_12",0,0,0,0,0,0,0,10,0,0,0,0,105,88,68,79,78,129,0,0,10843,7896,12069,12441,10295,8925,5,5,17,0,0,0,0,0,0,0,5,3,0,2,1,5,3,13,4,18,15,18
"13","OTU_13",0,0,4871,62454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"14","OTU_14",0,0,0,0,0,0,0,209,0,0,0,0,7,13,13,5,0,2,0,0,0,1,0,11,6,0,4,127,5847,17118,6784,6868,9463,38394,257,0,9,6,6,6,6,9,81,157,5,64,34,34
"15","OTU_15",0,0,0,0,0,0,0,4926,0,0,0,0,7,4,3,5,0,4,0,0,1,4,1,1,1,1,0,0,0,5,0,2,2,2,4,0,3910,5155,4574,3882,3834,4906,6706,8874,2093,7802,6472,7540
"16","OTU_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4910,3845,1156,0,0,0,0,5578,9124,47055,11902,22396,7578,0,0,0,0,0,0
"17","OTU_17",0,0,0,0,0,0,0,10814,0,0,0,0,259,198,127,84,245,314,0,0,1577,1230,1802,2231,1164,1257,2,4,0,0,0,0,0,0,0,0,32,46,30,42,38,50,4168,6460,1526,7176,5206,6177
"18","OTU_18",0,48414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","OTU_19",0,1,0,0,0,0,0,463,0,0,0,0,81,53,38,41,22,52,0,0,6118,10754,2836,9529,4705,7909,0,0,1,7,2,3,0,0,0,0,5696,7772,6958,5831,5613,7941,601,824,172,734,513,681
"20","OTU_20",0,0,0,0,0,0,0,0,0,0,0,0,13055,23,102087,27,73,83,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,2,5,45,13
"21","OTU_21",0,0,0,1,0,0,0,643,0,0,0,0,142,134,71,95,64,121,0,0,23,27,26,17,38,20,2,0,1,4,13,5,0,3,0,0,8658,11135,9750,8636,8531,11850,730,990,211,840,716,798
"22","OTU_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41430,0,0,0,0,0,0,0,0,1,0,0,0,0
"23","OTU_23",0,0,0,0,0,0,0,0,0,0,0,0,2325,3957,20902,13894,5277,3932,0,0,0,0,0,0,0,0,0,0,0,11,7,1,90,235,130,0,0,0,421,86,0,0,57,589,154,480,530,394
"24","OTU_24",0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,23131,45176,6904,0,0,0,0,0,0,0,5,2,2,0,0,1
"25","OTU_25",0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,7328,9852,8032,7034,6678,9088,108,187,42,142,155,144
"26","OTU_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835,18279,2,497,6408,801,957,32650,5658,0,0,0,0,0,1,0,0,0,0,0,0,0
"27","OTU_27",0,0,0,3,0,0,0,4823,0,0,0,0,8634,7173,4675,6582,5181,7648,0,0,819,584,300,571,378,410,0,1,0,8,0,0,1,14,6,0,3210,4164,3718,3073,3219,4343,9618,10553,2690,9335,8471,8169
"28","OTU_28",0,0,0,0,0,0,0,1837,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,290,53,10,0,1893,149,992,0,0,0,12095,19282,6518,3,0,0
"29","OTU_29",0,0,0,0,0,0,0,188,0,0,0,0,16,2,12,10,8,18,0,0,0,0,0,0,0,0,202,5,2,1279,298,173,16,41,25,0,6949,3564,4249,3667,6484,2905,0,0,0,0,0,0
"30","OTU_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1207,371,679,554,2651,1842,4593,23381,0,40093,17600,15780,3734,7625,19990,0,3187,0,2,0,0
"31","OTU_31",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,2,0,0,32033,60,88,46,16,36,0,3,1,9,10,0,1,9,4,0,7,6,15,39,5,7,61,86,36,202,44,172
"32","OTU_32",0,0,0,0,0,0,0,0,0,0,0,0,8478,6269,8992,20,2613,28117,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,4,2,0,6,29,7,4,17,26,3
"33","OTU_33",0,0,0,0,0,0,0,229,0,0,0,0,24,15,7,16,15,19,0,0,8,21,36,0,8,7,6436,2606,2692,3998,3276,1909,1299,2196,1320,0,269,28,104,40,103,46,272,132,48,103,96,57
"34","OTU_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,9843,9513,12174,177,0,3,0,0,0,2,0,2,1,0,0,0,0,0,0
"35","OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,19,38235,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,222,0,0,0,0,1,0,0,0,0,0,0,0,0
"36","OTU_36",0,0,0,0,0,0,0,2689,0,0,0,0,5,21,20,29,24,41,0,0,118,120,15,31,149,140,0,0,1,1,2,0,0,1,0,0,4302,4037,3791,4966,4076,4541,2607,3800,581,2251,2404,3242
"37","OTU_37",0,0,0,0,0,0,0,0,0,0,0,0,8596,5178,6575,6160,6745,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0
"38","OTU_38",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,591,439,550,8037,1515,14648,10,28,12,0,24,0,12,5,37,27,0,0,0,0,0,0
"39","OTU_39",0,0,0,0,0,0,0,7485,0,0,0,0,2,6,2,1,0,5,0,0,44,58,0,25,2,38,357,57,60,6614,2307,1180,216,474,137,0,1140,828,631,706,622,493,255,151,61,157,117,148
"40","OTU_40",0,0,4322,19102,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","OTU_41",0,0,0,0,0,0,0,3,0,0,0,0,3,1,5,50,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,22204,861,0,0,0,0,0,0,0,16,6,2,6,12,8
"42","OTU_42",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,643,24700,0,0,0,0,0,0,0,2555,61,10,2394,3940,28
"43","OTU_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,172,207,174,68,45,14444,3875,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","OTU_44",0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,35562,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","OTU_45",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4830,2079,2544,1508,7651,3232,54,107,161,12,144,8,629,6,3,0,6,14,23,0,22,26,11,11,8,12,19,13
"46","OTU_46",0,0,0,0,0,0,0,0,0,0,0,0,2671,4232,1120,2423,4725,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","OTU_47",0,0,0,0,0,0,0,4557,0,0,0,0,202,311,145,239,189,428,0,0,154,140,132,363,118,238,0,1,0,0,0,0,0,0,0,0,786,917,516,614,566,737,1334,2458,403,2150,1446,2459
"48","OTU_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","OTU_49",0,0,1702,18726,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,12,16,22,5,0,3,3,6,0,2,0,0,0,0,7,8,10,4,2,2,0,0,0,7,1,3
