"Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1",0,0,0,8,0,0,0,0,0,0,0,0,51402,17374,194877,115061,179628,48241,0,0,0,0,21,0,0,0,1,1,0,222,287,193,9032,4528,10035,0,0,0,40023,284,0,0,4129,39744,26969,35504,16131,11285
"Zotu1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,36,75,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,132,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,85,95,0,0,0,0,0,0,0,0,1,0,1,0,2
"Zotu1004",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,30,13,24,54,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"Zotu1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,157,196,77,166,39,7,17,3,0,0,1,0,0,0,5,0,0,0,0,0,0
"Zotu1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167,31,0,0,0,0,1,0,0,2,5,3,3,0,0,0,0,0
"Zotu1008",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,3,30,0,0,137,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zotu101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,20,2613,2797,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,136,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,26,45,9,25,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,115,0,0,0,3,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,19,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1018",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,39,139,6,9,0,0,1,1,0,2,1,1,0,1,1,0,1,0,0,0,1
"Zotu1020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,6,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,15,12,28,80,25,56,4,4,1,4,2,0,0,0,2,0,0,0,0,0,2,0,0,0,1
"Zotu1023",0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,8,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,28,10,19,12,17
"Zotu1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,18,37,83,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26,25,92,218,216,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,3
"Zotu1026",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,18,0,0,0,0,0,0,0,0,11,0,0,1,0,0,7,2,3,0,0,0,0,0,0,0,21,55,17,43,12,95
"Zotu1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,22,36,125,8,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0
"Zotu1028",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,153,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,4,3,14,5
"Zotu103",0,0,0,0,0,0,0,177,0,0,0,0,6,2,2,17,58,56,0,0,0,1,0,0,0,0,0,0,0,17,18,3,1,2,0,0,143,360,561,1665,1266,734,575,1822,381,1072,396,1180
"Zotu1030",0,0,0,0,0,0,0,0,0,0,0,0,0,72,65,2,1,0,0,0,0,0,19,0,0,1,38,10,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zotu1031",0,307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,3,0,0
"Zotu1032",0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,5,1,1,0,0,2,3,0,0,0,6,180,19,16,7,5,0,49,43,40,0,7,4,0,0,1,2,5,4,6,9,9,16
"Zotu1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,28,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,83,63,108,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Zotu1036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Zotu1039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,21,21,21,19,20,58,9,17,5,8,0,10,5,17,0,0,0,3,0,1,0,3,1,0,0,4,1
"Zotu104",0,0,0,0,0,0,0,43,0,0,0,0,9,3,4,1,10,19,0,0,588,852,1650,4114,384,882,4,9,9,0,2,2,0,4,0,0,25,34,518,65,17,21,31,99,38,72,45,146
"Zotu1040",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,93,15,38,54,58,0,65,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zotu1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,97,1,0,19,36,33,0,5,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0
"Zotu1044",0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,7,24,0,33,25,38
"Zotu1046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,163,55,47,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,55,233,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1049",160,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,1,6,0,0,0,1,2,1,7,4,10,2,0,0,0,0,0,0,0,0,2,1,3,3,1,1,0,2,1,0,0,1
"Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9035,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52,42,126,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,21,17,0,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1054",0,0,0,0,0,0,0,1,0,0,0,0,8,5,4,7,5,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,12,29,16,40
"Zotu1057",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,65,21,81,29,43,11,3,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0
"Zotu1058",0,0,28,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu106",0,0,0,73,0,0,0,94,0,0,0,0,287,28,37,27,58,183,0,0,83,121,100,342,20,49,324,104,194,57,220,46,53,31,54,0,1931,3044,1947,6576,3415,3306,109,452,120,204,208,361
"Zotu1061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,0,3,2,2
