"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"1","OTU_1",0,0,0,8,0,0,0,0,0,0,0,0,51609,17423,195162,115243,179935,48061,0,0,0,0,21,0,0,0,1,1,0,223,289,191,9043,4538,10043,0,0,0,40082,284,0,0,4136,39790,26913,35130,16133,11252
"2","OTU_2",0,10,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,37620,102988,26542,121724,26051,120310,157,66,44,0,3,0,0,0,0,0,283,319,127,687,59,114,51,213,62,135,67,217
"3","OTU_3",0,0,0,0,0,0,0,714,0,0,0,0,43899,7488,8648,10791,12422,21605,0,0,924,542,841,517,1348,2279,3322,670,986,9,28,5,5,7,13,0,60010,109782,32765,66587,30955,28357,280,1488,108,362,202,766
"4","OTU_4",0,0,0,12,0,0,0,0,0,0,0,0,1,317,0,0,5336,30881,0,0,0,0,63,0,0,0,0,0,0,0,0,0,320,139,1,0,0,0,0,0,0,0,0,2174,45841,63321,40879,24406
"5","OTU_5",0,0,236,1120,0,0,0,0,0,0,0,0,0,201557,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","OTU_6",0,0,0,2,0,0,0,0,0,0,0,0,4259,0,7397,157,3475,6,0,0,0,0,8,0,0,0,0,1,0,1685,596,94,3203,4773,6204,0,2,3,1,2,0,5,37015,63788,11,32417,33364,6320
"7","OTU_7",0,0,0,0,0,0,0,75,0,0,0,0,745,2393,248,818,939,2155,0,0,0,0,22,0,0,0,1,0,0,501,1043,198,63,170,46,0,16685,21235,8199,13440,11970,19258,6307,36156,13827,33642,2675,4875
"8","OTU_8",0,0,0,0,0,0,0,0,0,0,0,0,3525,0,0,0,0,3060,0,0,42408,84,3862,169,8225,178,2510,9677,5055,780,2443,615,0,0,0,0,5178,11704,28978,9883,13097,4807,0,0,0,0,0,0
"9","OTU_9",0,0,0,0,153,0,0,139744,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","OTU_10",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,127,14,0,60318,4385,17586,3062,7763,537,29405,2987,0,74,15247,9
"11","OTU_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,52684,42658,0,153,0,3,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"12","OTU_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,789,254,0,15635,7457,22097,0,0,1,0,0,0,0,463,14699,2293,3884,19397,4520
"13","OTU_13",0,0,29,117,0,0,0,3,0,0,0,0,29,23,6,21,38,60,0,0,81337,397,470,522,288,353,3,61,234,53,44,17,173,9,17,0,28,39,16,60,10,18,32,115,40,90,50,168
"14","OTU_14",0,0,0,10,0,0,0,1516,0,0,0,0,315,80,115,213,224,536,0,0,900,1033,505,787,610,1333,1,0,4,1,0,1,0,1,0,0,9792,13244,5869,20932,7787,9759,2628,9548,2343,5084,4570,9642
"15","OTU_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3663,37079,1657,2835,738,7106,4907,23830,0,0,1,121,119,722,53,0,2,0,0,0,0
"16","OTU_16",0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7884,9200,7878,12558,13079,18198,79,30,108,2,0,0,0,0,2,0,1,0,0,3,0,0,12,28,17,34,18,70
"17","OTU_17",1525,0,1460,1360,0,0,0,10813,0,66,0,0,2259,323,743,1018,1300,3213,0,0,1839,1035,2948,2483,1087,833,331,27,64,66,105,22,58,24,37,0,535,720,457,1771,1069,1278,3435,11927,3260,8716,5723,14778
"18","OTU_18",0,0,46,51,0,0,0,653,0,0,0,0,33,9,13,24,27,42,0,0,0,20,13,51,107,0,0,0,0,0,0,0,0,0,0,0,59,117,107,69,71,43,4777,19739,6920,21336,7145,15258
"19","OTU_19",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,759,42,127,139,323,67,2077,0,22702,16948,4583,1791,1833,10591,1,153,0,1,1,1
"20","OTU_20",0,0,0,0,0,0,0,26,0,0,0,0,752,191,277,516,455,1180,0,0,10612,9931,10272,10617,13960,14728,3999,1883,2243,113,83,19,107,89,71,0,670,734,271,774,513,726,6,3,6,9,14,16
"21","OTU_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5449,57747,2122,2946,2449,612,3171,5699,18214,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","OTU_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,5315,58269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","OTU_23",0,0,0,0,0,0,0,6,0,0,0,0,44,21,76,113,291,337,0,0,0,0,0,0,0,0,0,0,0,18,12,6,139,22,28,0,309,173,1363,48373,47,41,386,1011,224,443,314,498
"24","OTU_24",0,0,0,0,0,0,0,0,0,0,0,0,14956,458,2413,0,7553,26314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
