"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"1","Zotu1",0,0,0,8,0,0,0,0,0,0,0,0,50827,17351,194103,114870,178268,47882,0,0,0,0,21,0,0,0,1,1,0,222,287,191,9016,4517,10005,0,0,0,39987,284,0,0,4125,39681,26823,34972,16076,11222
"2","Zotu2",0,10,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,33768,91212,23692,107837,23181,106738,151,62,39,0,3,0,0,0,0,0,97,119,37,220,19,31,51,202,56,125,58,204
"3","Zotu3",0,0,0,0,0,0,0,697,0,0,0,0,42935,7401,8540,10682,12202,21193,0,0,923,542,840,515,1344,2277,3297,669,982,9,28,5,5,7,13,0,59086,107972,32022,63388,29555,27005,280,1453,108,351,201,755
"4","Zotu4",0,0,0,12,0,0,0,0,0,0,0,0,1,317,0,0,5336,30881,0,0,0,0,63,0,0,0,0,0,0,0,0,0,320,139,1,0,0,0,0,0,0,0,0,2174,45841,63320,40879,24406
"5","Zotu5",0,0,236,1120,0,0,0,0,0,0,0,0,0,201556,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Zotu6",0,0,0,2,0,0,0,0,0,0,0,0,4259,0,7397,157,3475,6,0,0,0,0,8,0,0,0,0,1,0,1685,596,94,3203,4773,6204,0,2,3,1,2,0,5,37015,63788,11,32417,33364,6320
"7","Zotu7",0,0,0,0,0,0,0,75,0,0,0,0,740,2386,248,817,933,2106,0,0,0,0,22,0,0,0,1,0,0,493,1014,188,61,164,45,0,16540,21059,8169,13418,11923,19121,6291,35992,13806,33573,2673,4854
"8","Zotu8",0,0,1,0,0,0,0,0,0,0,0,0,84219,4622,16539,10686,72104,2745,0,0,0,0,3,0,14,0,1,233,156,667,399,9,8909,4547,7860,0,0,0,4,0,9,1,0,6,3719,965,2,362
"9","Zotu9",0,0,0,0,0,0,0,0,0,0,0,0,3509,0,0,0,0,3049,0,0,42374,84,3856,169,8214,178,2510,9671,5053,780,2443,615,0,0,0,0,5173,11692,28955,9871,13073,4801,0,0,0,0,0,0
"10","Zotu10",0,0,0,0,0,0,0,1,0,0,0,0,60,10,5,10,14,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,3,10,6,7,0,1,0,2,0,0
"11","Zotu11",0,0,0,0,153,0,0,139828,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Zotu12",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,127,14,0,60317,4385,17586,3061,7763,537,29405,2987,0,74,15247,9
"13","Zotu13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,52682,42658,0,153,0,3,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","Zotu14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,789,254,0,15635,7457,22097,0,0,1,0,0,0,0,463,14699,2293,3884,19397,4520
"15","Zotu15",0,0,1,7,0,0,0,3,0,0,0,0,29,23,6,21,38,60,0,0,81332,397,470,522,288,353,2,61,231,53,44,17,173,9,17,0,28,39,16,60,10,18,31,115,40,90,50,167
"16","Zotu16",0,0,0,10,0,0,0,1507,0,0,0,0,315,80,114,213,224,536,0,0,898,1028,503,783,610,1329,1,0,4,1,0,1,0,1,0,0,9751,13165,5844,20853,7751,9711,2622,9494,2328,5062,4558,9587
"17","Zotu17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530,34378,620,1427,25,7106,4907,23829,0,0,0,2,2,8,0,0,2,0,0,0,0
"18","Zotu18",0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7884,9200,7878,12558,13079,18198,79,30,109,2,0,0,0,0,2,0,1,0,0,3,0,0,12,28,17,34,18,70
"19","Zotu19",278,0,106,88,0,0,0,10533,0,66,0,0,1176,170,450,703,915,2170,0,0,1731,955,2624,2231,891,760,129,10,25,60,96,19,56,21,28,0,493,680,433,1643,1018,1241,3027,10345,2866,7226,5106,13144
"20","Zotu20",0,0,46,51,0,0,0,653,0,0,0,0,33,9,13,24,27,42,0,0,0,20,13,51,107,0,0,0,0,0,0,0,0,0,0,0,59,117,107,69,71,43,4780,19741,6921,21339,7145,15259
"21","Zotu21",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,721,40,118,117,303,63,1843,0,22417,16764,4484,1741,1788,10397,1,150,0,1,1,1
"22","Zotu22",0,0,0,0,0,0,0,23,0,0,0,0,748,189,277,511,454,1179,0,0,10607,9928,10271,10618,13960,14724,3822,1865,2227,106,78,19,58,46,31,0,663,730,271,774,512,724,1,0,0,0,5,0
"23","Zotu23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746,52150,296,62,51,5,38,72,380,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Zotu24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,5087,55964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Zotu25",0,0,0,0,0,0,0,6,0,0,0,0,13,4,16,17,23,42,0,0,0,0,0,0,0,0,0,0,0,18,12,6,137,22,27,0,307,173,1358,48294,47,40,386,1007,224,443,314,497
"26","Zotu26",0,0,0,0,0,0,0,0,0,0,0,0,14952,457,2406,0,7551,26308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27","Zotu27",0,0,0,0,0,0,0,0,0,0,0,0,548,154,197,221,10250,33363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Zotu28",0,0,2039,39181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Zotu29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39167,895,0,15,5,37,1,0,0,0,46,29,66,0,0,0,0,0,0,0,0,0,0,0,0,0
