"","ID","dataset","annotation"
"1","Zotu1007","18S","Anteholosticha scutellum"
"2","Zotu1008","18S","Ameira scotti"
"3","Zotu1044","18S","Coriolopsis gallica"
"4","Zotu1079","18S","Strombidinopsis jeokjo"
"5","Zotu1083","18S","Coriolopsis gallica"
"6","Zotu1086","18S","Coriolopsis gallica"
"7","Zotu1095","18S","Ceramium rubrum"
"8","Zotu1110","18S","Protoperidinium bipes"
"9","Zotu1129","18S","Coriolopsis gallica"
"10","Zotu1142","18S","Laboea strobila"
"11","Zotu1154","18S","Ulvella leptochaete"
"12","Zotu116","18S","Anoplostoma rectospiculum"
"13","Zotu117","18S","Chromadora nudicapitata"
"14","Zotu118","18S","Tintinnopsis parvula"
"15","Zotu1183","18S","Coriolopsis gallica"
"16","Zotu1188","18S","Desmolaimus zeelandicus"
"17","Zotu119","18S","Microstomum papillosum"
"18","Zotu120","18S","Lepidochitona cinerea"
"19","Zotu121","18S","Phaeocystis globosa"
"20","Zotu1217","18S","Coriolopsis gallica"
"21","Zotu1224","18S","Parallelostrombidium conicum"
"22","Zotu123","18S","Stenosemella pacifica"
"23","Zotu124","18S","Liocarcinus depurator"
"24","Zotu1251","18S","Capitella teleta"
"25","Zotu1260","18S","Lutraria lutraria"
"26","Zotu1283","18S","Coriolopsis gallica"
"27","Zotu1285","18S","Urospora wormskioldii"
"28","Zotu1287","18S","Coriolopsis gallica"
"29","Zotu1293","18S","Microstomum papillosum"
"30","Zotu1332","18S","Philaster apodigitiformis"
"31","Zotu1333","18S","Syringolaimus striatocaudatus"
"32","Zotu1342","18S","Polykrikos kofoidii"
"33","Zotu1357","18S","Paranophrys marina"
"34","Zotu139","18S","Rhodomonas abbreviata"
"35","Zotu1406","18S","Barentsia discreta"
"36","Zotu1417","18S","Chytridium polysiphoniae"
"37","Zotu1422","18S","Dysteria pectinata"
"38","Zotu144","18S","Sphaerosyllis glandulata"
"39","Zotu1442","18S","Coriolopsis gallica"
"40","Zotu146","18S","Picomonas judraskeda"
"41","Zotu1468","18S","Coriolopsis gallica"
"42","Zotu1478","18S","Chlamydodon salinus"
"43","Zotu1482","18S","Coriolopsis gallica"
"44","Zotu1496","18S","Zoothamnium grossi"
"45","Zotu15","18S","Bougainvillia muscus"
"46","Zotu1506","18S","Plaxiphora albida"
"47","Zotu1515","18S","Cyclidium glaucoma"
"48","Zotu155","18S","Pygospio elegans"
"49","Zotu1556","18S","Zostera marina"
"50","Zotu1576","18S","Cryptosula pallasiana"
"51","Zotu1579","18S","Coriolopsis gallica"
"52","Zotu158","18S","Pycnophyes kielensis"
"53","Zotu159","18S","Halichondria bowerbanki"
"54","Zotu1597","18S","Hemiselmis cryptochromatica"
"55","Zotu16","18S","Teleaulax acuta"
"56","Zotu1605","18S","Apokeronopsis crassa"
"57","Zotu1610","18S","Holosticha heterofoissneri"
"58","Zotu1624","18S","Parabirojimia similis"
"59","Zotu163","18S","Cerastoderma edule"
"60","Zotu164","18S","Coriolopsis gallica"
"61","Zotu165","18S","Amphichaeta sannio"
"62","Zotu1655","18S","Strombidium paracalkinsi"
"63","Zotu1687","18S","Emplectonema gracile"
"64","Zotu1706","18S","Coriolopsis gallica"
"65","Zotu171","18S","Tubificoides brownae"
"66","Zotu1721","18S","Coriolopsis gallica"
"67","Zotu1726","18S","Ranunculus sceleratus"
"68","Zotu1731","18S","Coriolopsis gallica"
"69","Zotu1741","18S","Coriolopsis gallica"
"70","Zotu1746","18S","Coriolopsis gallica"
"71","Zotu175","18S","Pelagostrobilidium neptuni"
"72","Zotu1752","18S","Amathia imbricata"
"73","Zotu1762","18S","Parauronema longum"
"74","Zotu1763","18S","Pseudoperkinsus tapetis"
"75","Zotu1769","18S","Acineta tuberosa"
"76","Zotu180","18S","Promesostoma meixneri"
"77","Zotu1813","18S","Oxyrrhis marina"
"78","Zotu1830","18S","Laomedea flexuosa"
"79","Zotu187","18S","Coriolopsis gallica"
"80","Zotu1870","18S","Tetraselmis subcordiformis"
"81","Zotu1873","18S","Diophrys scutum"
"82","Zotu1874","18S","Microglena monadina"
"83","Zotu1886","18S","Coriolopsis gallica"
"84","Zotu189","18S","Peringia ulvae"
"85","Zotu1951","18S","Pseudochilodonopsis fluviatilis"
"86","Zotu1961","18S","Coriolopsis gallica"
"87","Zotu197","18S","Protohydra leuckarti"
"88","Zotu1979","18S","Coriolopsis gallica"
"89","Zotu1993","18S","Peritromus kahli"
"90","Zotu2006","18S","Ammopiptanthus mongolicus"
"91","Zotu2011","18S","Coriolopsis gallica"
"92","Zotu2015","18S","Savillea micropora"
"93","Zotu202","18S","Oikopleura dioica"
